IIN	Type	Name	Length
371558	Amex	CENTURION	15
371559	Amex	CENTURION	15
371560	Amex	CENTURION	15
371561	Amex	CENTURION	15
371562	Amex	CENTURION	15
371563	Amex	CENTURION	15
371564	Amex	CENTURION	15
371565	Amex	CENTURION	15
371566	Amex	CENTURION	15
371567	Amex	CENTURION	15
371568	Amex	CENTURION	15
371569	Amex	CENTURION	15
371570	Amex	CENTURION	15
371571	Amex	CENTURION	15
371572	Amex	CENTURION	15
371573	Amex	CENTURION	15
371574	Amex	CENTURION	15
371575	Amex	CENTURION	15
371576	Amex	CENTURION	15
371577	Amex	CENTURION	15
371578	Amex	CENTURION	15
371579	Amex	CENTURION	15
371580	Amex	CENTURION	15
371581	Amex	CENTURION	15
371582	Amex	CENTURION	15
371583	Amex	CENTURION	15
371584	Amex	CENTURION	15
371585	Amex	CENTURION	15
371586	Amex	CENTURION	15
371587	Amex	CENTURION	15
371588	Amex	CENTURION	15
371589	Amex	CENTURION	15
371590	Amex	CENTURION	15
371591	Amex	CENTURION	15
371592	Amex	CENTURION	15
371593	Amex	CENTURION	15
371594	Amex	CENTURION	15
371595	Amex	CENTURION	15
371596	Amex	CENTURION	15
371597	Amex	CENTURION	15
371598	Amex	CENTURION	15
371599	Amex	CENTURION	15
371600	Amex	AMEX	15
371601	Amex	AMEX	15
371602	Amex	AMEX	15
371603	Amex	AMEX	15
371604	Amex	AMEX	15
371605	Amex	AMEX	15
371606	Amex	AMEX	15
371607	Amex	AMEX	15
371608	Amex	AMEX	15
371609	Amex	AMEX	15
371610	Amex	AMEX	15
371611	Amex	AMEX	15
371612	Amex	AMEX	15
371613	Amex	AMEX	15
371614	Amex	AMEX	15
371615	Amex	AMEX	15
371616	Amex	AMEX	15
371617	Amex	AMEX	15
371618	Amex	AMEX	15
371619	Amex	AMEX	15
371620	Amex	AMEX	15
371621	Amex	AMEX	15
371622	Amex	AMEX	15
371623	Amex	AMEX	15
371624	Amex	AMEX	15
371625	Amex	AMEX	15
371626	Amex	AMEX	15
371627	Amex	AMEX	15
371628	Amex	AMEX	15
371629	Amex	AMEX	15
371630	Amex	AMEX	15
371631	Amex	AMEX	15
371632	Amex	AMEX	15
371633	Amex	AMEX	15
371634	Amex	AMEX	15
371635	Amex	AMEX	15
